file,region,row_type,expected,stt,corrected,n_expected,n_stt,fixed,outcome,mozhi_edits,category_suggested,phonetic_score,category_reviewed
test_audio1,1,stt_error,the SLA before,if there is a leg for,if there is a leg for,3,6,no,missed,,non_phonetic_substitution,0.676,
test_audio1,2,stt_error,,move away and,move away and,0,3,no,missed,,insertion,,
test_audio2,1,stt_error,LAN,land,LAN,1,1,yes,fixed,fuzzy: 'land' -> 'LAN',phonetic_substitution,0.911,
test_audio2,2,stt_error,WAN link,one link,WAN link,2,2,yes,fixed,phrase_alias: 'one link' -> 'WAN link',phonetic_substitution,0.933,
test_audio2,3,stt_error,RAID,read,RAID,1,1,yes,fixed,fuzzy: 'read' -> 'RAID',phonetic_substitution,1.000,
test_audio2,4,stt_error,keeps,is,is,1,1,no,missed,,non_phonetic_substitution,0.000,
vol01_crud,1,stt_error,vendor's status,Windows,Windows,2,1,no,missed,,non_phonetic_substitution,0.683,
vol01_crud,2,stt_error,office,of his,of his,1,2,no,missed,,non_phonetic_substitution,0.511,
vol01_crud,3,stt_error,our,a,a,1,1,no,missed,,non_phonetic_substitution,0.000,
vol01_crud,4,stt_error,said,says,says,1,1,no,missed,,non_phonetic_substitution,0.667,
vol01_crud,5,stt_error,,the,the,0,1,no,missed,,insertion,,
vol01_crud,6,stt_error,a,the,the,1,1,no,missed,,non_phonetic_substitution,0.000,
vol01_crud,7,stt_error,approval,approach,approach,1,1,no,missed,,out_of_scope,0.848,
vol01_crud,8,stt_error,this quarter That,squatter The,squatter The,3,2,no,missed,,non_phonetic_substitution,0.780,
vol01_crud,9,stt_error,failed,fails,fails,1,1,no,missed,,out_of_scope,0.822,
vol01_crud,10,stt_error,CRUD DNS SLA HSTS RAID VPN ORM,,,7,0,no,missed,,omission,,
vol02_nosql,1,stt_error,scheduled,schedule,schedule,1,1,no,missed,,out_of_scope,0.960,
vol02_nosql,2,stt_error,phishing,phasing,phasing,1,1,no,missed,,phonetic_substitution,0.850,
vol02_nosql,3,stt_error,past,passed,passed,1,1,no,missed,,out_of_scope,1.000,
vol02_nosql,4,stt_error,test,distant,distant,1,1,no,missed,,phonetic_substitution,0.907,
vol02_nosql,5,stt_error,shared,chat,chat,1,1,no,missed,,non_phonetic_substitution,0.611,
vol02_nosql,6,stt_error,NoSQL SSL GPU VM WAN HTTP IAM,,,7,0,no,missed,,omission,,
vol03_mfa,1,stt_error,rolled back,roll back,roll backup,2,2,no,changed_wrong,fuzzy: 'back' -> 'backup',out_of_scope,0.967,
vol03_mfa,2,stt_error,twenty,20,20,1,1,no,missed,,non_phonetic_substitution,0.000,
vol03_mfa,3,stt_error,new,news,news,1,1,no,missed,,out_of_scope,0.850,
vol03_mfa,4,stt_error,vendor's,vendors,vendors,1,1,no,missed,,out_of_scope,1.000,
vol03_mfa,5,stt_error,The,Their,Their,1,1,no,missed,,out_of_scope,0.850,
vol03_mfa,6,regression,read,read,RAID,1,1,no,regression,fuzzy: 'read' -> 'RAID',,,
vol03_mfa,7,stt_error,MFA TLS OAuth IOPS FTP QA SDK,,,7,0,no,missed,,omission,,
vol04_dhcp,1,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol04_dhcp,2,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol04_dhcp,3,stt_error,sync,sink,sink,1,1,no,missed,,out_of_scope,1.000,
vol04_dhcp,4,stt_error,WAN link,van linked,van linked,2,2,no,missed,,non_phonetic_substitution,0.643,
vol04_dhcp,5,stt_error,DHCP SNMP UAT SMTP CI BIOS SIEM,,,7,0,no,missed,,omission,,
vol05_sql,1,stt_error,tier two not,tie to North,tie to North,3,3,no,missed,,phonetic_substitution,0.832,
vol05_sql,2,stt_error,desk,,,1,0,no,missed,,omission,,
vol05_sql,3,stt_error,API keeps timing,APS keep stymming,APS keep stymming,3,3,no,missed,,phonetic_substitution,0.929,
vol05_sql,4,stt_error,are,,,1,0,no,missed,,omission,,
vol05_sql,5,stt_error,That workaround is fine,But work around this point,But work around this point,4,5,no,missed,,non_phonetic_substitution,0.761,
vol05_sql,6,stt_error,cause,course,course,1,1,no,missed,,non_phonetic_substitution,0.611,
vol05_sql,7,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol05_sql,8,stt_error,caching,catching,catching,1,1,no,missed,,out_of_scope,1.000,
vol05_sql,9,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol05_sql,10,stt_error,SQL JWT UEFI SAML SOAP SFTP RAM,,,7,0,no,missed,,omission,,
vol06_rbac,1,stt_error,orphaned,often,often,1,1,no,missed,,out_of_scope,0.805,
vol06_rbac,2,stt_error,logging,blogging,blogging,1,1,no,missed,,out_of_scope,0.933,
vol06_rbac,3,stt_error,you,we,we,1,1,no,missed,,non_phonetic_substitution,0.000,
vol06_rbac,4,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol06_rbac,5,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol06_rbac,6,stt_error,new switch,news which,news which,2,2,no,missed,,out_of_scope,0.940,
vol06_rbac,7,stt_error,quarter We're,quatter We are,quatter We are,2,3,no,missed,,non_phonetic_substitution,0.758,
vol06_rbac,8,stt_error,hire's badge,hires batch,hires batch,2,2,no,missed,,out_of_scope,0.900,
vol06_rbac,9,stt_error,RBAC LDAP CDN REST ICMP NAS DMZ,,,7,0,no,missed,,omission,,
vol07_stp,1,stt_error,contractor's,contractors,contractors,1,1,no,missed,,out_of_scope,1.000,
vol07_stp,2,stt_error,wakes,waves,waves,1,1,no,missed,,non_phonetic_substitution,0.800,
vol07_stp,3,stt_error,We think,,,2,0,no,missed,,omission,,
vol07_stp,4,stt_error,incident was triggered by a stale cache entry The,,,9,0,no,missed,,omission,,
vol07_stp,5,stt_error,restored,restore,restore,1,1,no,missed,fuzzy: 'restore' -> 'restore',out_of_scope,0.960,
vol07_stp,6,stt_error,need,needs,needs,1,1,no,missed,,out_of_scope,0.911,
vol07_stp,7,stt_error,retired,retailed,retailed,1,1,no,missed,,out_of_scope,0.867,
vol07_stp,8,stt_error,an,and,and,1,1,no,missed,,out_of_scope,0.911,
vol07_stp,9,stt_error,server,service,service,1,1,no,missed,,phonetic_substitution,0.883,
vol07_stp,10,stt_error,gateway,getaway,getaway,1,1,no,missed,,non_phonetic_substitution,0.778,
vol07_stp,11,stt_error,we've,we,we,1,1,no,missed,,out_of_scope,0.850,
vol07_stp,12,stt_error,sprint STP PAT XML CSV NAT ARP SOC,sprinted,sprinted,8,1,no,missed,,non_phonetic_substitution,0.678,
vol08_https,1,regression,catch,catch,cache,1,1,no,regression,fuzzy: 'catch' -> 'cache',,,
vol08_https,2,stt_error,edge case,HK's,HK's,2,1,no,missed,,non_phonetic_substitution,0.000,
vol08_https,3,stt_error,node,note,note,1,1,no,missed,,out_of_scope,1.000,
vol08_https,4,stt_error,The,that,that,1,1,no,missed,,out_of_scope,0.850,
vol08_https,5,stt_error,a,of,of,1,1,no,missed,,non_phonetic_substitution,0.000,
vol08_https,6,stt_error,three,3,3,1,1,no,missed,,non_phonetic_substitution,0.000,
vol08_https,7,stt_error,fifteen,15,15,1,1,no,missed,,non_phonetic_substitution,0.000,
vol08_https,8,stt_error,our,a,a,1,1,no,missed,,non_phonetic_substitution,0.000,
vol08_https,9,stt_error,requests,request,request,1,1,no,missed,,out_of_scope,0.960,
vol08_https,10,stt_error,We're,we are,we are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol08_https,11,stt_error,our,,,1,0,no,missed,,omission,,
vol08_https,12,stt_error,provider's,providers,providers,1,1,no,missed,,out_of_scope,1.000,
vol08_https,13,stt_error,IDE,id,id,1,1,no,missed,,phonetic_substitution,1.000,
vol08_https,14,stt_error,HTTPS SSO VLAN SSH IDS API DDoS,,,7,0,no,missed,,omission,,
vol09_lan,1,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol09_lan,2,stt_error,intern,internet,internet,1,1,no,missed,,out_of_scope,0.967,
vol09_lan,3,stt_error,force,first,first,1,1,no,missed,,out_of_scope,0.942,
vol09_lan,4,stt_error,archive,achieve,achieve,1,1,no,missed,,out_of_scope,0.925,
vol09_lan,5,stt_error,standup,stand up,stand up,1,2,no,missed,,out_of_scope,0.943,
vol09_lan,6,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol09_lan,7,stt_error,read,red,red,1,1,no,missed,,out_of_scope,1.000,
vol09_lan,8,stt_error,change,changed,changed,1,1,no,missed,,phonetic_substitution,0.942,
vol09_lan,9,stt_error,That,The,The,1,1,no,missed,,out_of_scope,0.850,
vol09_lan,10,stt_error,review board LAN URL OS YAML IMAP SAN IPS,reboot,reboot,9,1,no,missed,fuzzy: 'reboot' -> 'reboot',non_phonetic_substitution,0.588,
vol10_uri,1,stt_error,we're,we are,we are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol10_uri,2,stt_error,rate,route,router,1,1,no,changed_wrong,fuzzy: 'route' -> 'router',out_of_scope,1.000,
